     V0  V1  V2  V3  V4  V5  V6  V7  V8  V9 V10 V11 V12 V13 V14 V15 V16 V17 V18 V19 V20 V21 V22 V23 V24
 V2   X   X   X  71  61  65   X   X   X   X  67   X   X  19  31   6  78   X   X  17   X   X   X   X  78 
 V3   X   X  71   X  35  79  48   X   X   X   X   X  72   X   X   X   X  69  27  36   X   X  33  11   X 
 V4   X   X  61  35   X   X  73   X   X   X  63   X   X   X  55   X   X   X  29   X   X   X  37  14   9 
 V5   X   X  65  79   X   X   X   X   X   X   X   X  67   X   X   X  88   X  33   X  27   X   X  96   X 
 V6  29   X   X  48  73   X   X   X   X  20   X   X   X  54  72   X   X  91  90  40   X  36   X  71   X 
 V7   X   X   X   X   X   X   X   X   X  31  71   X   X   X  43   X   X   X   X  24   X   X   X   X   X 
 V8   X   X   X   X   X   X   X   X   X   X   X  62   X  25   X   X   X  75   X   X   X  75  70   X   X 
 V9   X   X   X   X   X   X  20  31   X   X   X  31  30  58   X  19   X   X  81   X  11   X   X   X   X 
V10   X  99  67   X  63   X   X  71   X   X   X  64   X   X  73  17   X  23  93   X   X  93  65   X   X 
V11   X   X   X   X   X   X   X   X  62  31  64   X   X   X  72   X   X   X   X   X  42   X   9  17   X 
V12  51  34   X  72   X  67   X   X   X  30   X   X   X  16  99   X  43   X   X   X   X   X   3   X   X 
V13   X  71  19   X   X   X  54   X  25  58   X   X  16   X   X   X   X  43   X   X   X   X  15  30  59 
V14   X   X  31   X  55   X  72  43   X   X  73  72  99   X   X   1   X   X   X   X   X  42  13   X   X 
V15   X   X   6   X   X   X   X   X   X  19  17   X   X   X   1   X   X   X   X  47   X   X   X   X   X 
V16   X   X  78   X   X  88   X   X   X   X   X   X  43   X   X   X   X   X   X   X   X   X   X  51  68 
V17   X   X   X  69   X   X  91   X  75   X  23   X   X  43   X   X   X   X   X   X   X   X  55   X   X 
V18   X   X   X  27  29  33  90   X   X  81  93   X   X   X   X   X   X   X   X  76  14   X   X  81   X 
V19  27  82  17  36   X   X  40  24   X   X   X   X   X   X   X  47   X   X  76   X   X   X   X  48   X 
V20  76   X   X   X   X  27   X   X   X  11   X  42   X   X   X   X   X   X  14   X   X   X  10  68  57 
V21  57   X   X   X   X   X  36   X  75   X  93   X   X   X  42   X   X   X   X   X   X   X   X  71   7 
V22   X   X   X  33  37   X   X   X  70   X  65   9   3  15  13   X   X  55   X   X  10   X   X  12   X 
V23   X   X   X  11  14  96  71   X   X   X   X  17   X  30   X   X  51   X  81  48  68  71  12   X   X 
V24  53   X  78   X   9   X   X   X   X   X   X   X   X  59   X   X  68   X   X   X  57   7   X   X   X 
(V14-V15,1)(V22-V12,3)(V2-V15,6)(V21-V24,7)(V4-V24,9)(V11-V22,9)(V22-V20,10)(V3-V23,11)(V9-V20,11)(V22-V23,12)(V22-V14,13)(V18-V20,14)(V4-V23,14)(V22-V13,15)(V15-V10,17)(V2-V19,17)(V6-V9,20)(V10-V17,23)(V7-V19,24)(V8-V13,25)(V20-V5,27)(V19-V0,27)(V1-V12,34)(V16-V12,43)最小生成树总权值为392
     V0  V1  V2  V3  V4  V5  V6  V7  V8  V9 V10 V11 V12 V13 V14 V15 V16 V17 V18 V19 V20 V21 V22 V23 V24
 V0   X  59   X   X   X   X   X  11  43   X  96  35   X  20  34   X  10  28  36   X   X   X   X   X   X 
 V1  59   X   X   X   X  54   X   6   X   X   X   X   X   X   X   X   X   X   X   X   X  12  90   X  48 
 V2   X   X   X   X   X   X   X   8  47  34  34   X  58   X   X  18  13  33   X   X   X  55  40  25   X 
 V3   X   X   X   X   X   X   X   X   X   X   X   X   X   X   X  79   X   X  97  28   4   X   X   X  17 
 V4   X   X   X   X   X  14   X  70   X   X   X   X   X   X   8   X   X   X   X   X   X   3   X   X  35 
 V5   X  54   X   X  14   X  30   1  18  26   X  47  66  17   X   X   X  30   X   X  61   X  29   X   X 
 V6   X   X   X   X   X  30   X   X   X   X  81   X  17   X  91   X   X   X   X   X   X  76   1  61   X 
 V7  11   6   8   X  70   1   X   X   X   X  77   X   X  64   X   X   3   X   X  40  23  95   2   X  50 
 V8  43   X  47   X   X  18   X   X   X  31   X   X   X   X   X   X   X   X  77   X   X  53   X   X  67 
 V9   X   X  34   X   X  26   X   X  31   X  58   X   X  68   X   X   X   X   X   X  96   X   X   6   X 
V10  96   X  34   X   X   X  81  77   X  58   X   X   X  80   X  20   X   X   X   X   X   X   X   X   X 
V11  35   X   X   X   X  47   X   X   X   X   X   X   X   X   X   X   X   X   X   X  36   X   X   9  15 
V12   X   X  58   X   X  66  17   X   X   X   X   X   X  41   1   X   X   X   X   X   X   X   X   X  42 
V13  20   X   X   X   X  17   X  64   X  68  80   X  41   X  66   X  94   X   X  91  26   X   X  94   X 
V14  34   X   X   X   8   X  91   X   X   X   X   X   1  66   X   X   X   X   X  78  81  10   X  43   X 
V15   X   X  18  79   X   X   X   X   X   X  20   X   X   X   X   X  11  23   X  89   X   X  32  50   X 
V16  10   X  13   X   X   X   X   3   X   X   X   X   X  94   X  11   X   X   X   X   X   X   X   X   X 
V17  28   X  33   X   X  30   X   X   X   X   X   X   X   X   X  23   X   X   X   X   X   X   X   X   X 
V18  36   X   X  97   X   X   X   X  77   X   X   X   X   X   X   X   X   X   X   X  69   X   X   X   X 
V19   X   X   X  28   X   X   X  40   X   X   X   X   X  91  78  89   X   X   X   X   X  58  57  56   X 
V20   X   X   X   4   X  61   X  23   X  96   X  36   X  26  81   X   X   X  69   X   X  46  73   X  55 
V21   X  12  55   X   3   X  76  95  53   X   X   X   X   X  10   X   X   X   X  58  46   X  37   X   X 
V22   X  90  40   X   X  29   1   2   X   X   X   X   X   X   X  32   X   X   X  57  73  37   X   X  44 
V23   X   X  25   X   X   X  61   X   X   6   X   9   X  94  43  50   X   X   X  56   X   X   X   X  57 
V24   X  48   X  17  35   X   X  50  67   X   X  15  42   X   X   X   X   X   X   X  55   X  44  57   X 
(V14-V12,1)(V6-V22,1)(V5-V7,1)(V22-V7,2)(V21-V4,3)(V7-V16,3)(V3-V20,4)(V23-V9,6)(V7-V1,6)(V14-V4,8)(V7-V2,8)(V11-V23,9)(V16-V0,10)(V15-V16,11)(V1-V21,12)(V11-V24,15)(V5-V13,17)(V24-V3,17)(V8-V5,18)(V15-V10,20)(V7-V20,23)(V17-V15,23)(V19-V3,28)(V18-V0,36)最小生成树总权值为282
     V0  V1  V2  V3  V4  V5  V6  V7  V8  V9 V10 V11 V12 V13 V14 V15 V16 V17 V18 V19 V20 V21 V22 V23 V24
 V0   X   X   X   X   X   X   X   X  89  71   4   X  16  38  51   X   X  94  46   X  92   X   X   X   1 
 V1   X   X   X   X   X   X   X   X   X   X   X   X   X   X   1  60   X  65   X  94   X   X  16   X   6 
 V2   X   X   X   X   X   X   X   X   X   X   X  25  32  78  58   X   X   X   X  56   X  51   X  70   X 
 V3   X   X   X   X   9  10   X   X   X   3   X  29   X   X  50  75   X   X   X   X   X  72   X   X   X 
 V4   X   X   X   9   X  21   X  19  23   X   X   X   X   X   X   X  81  56  59  79   X   X  75   X   X 
 V5   X   X   X  10  21   X  73  89   X   X   X   X   X   X   X  65   X  21  23  14   X   1   X   X  73 
 V6   X   X   X   X   X  73   X   X   X   X   X   X   X   X   X  80   X   X   X   1  97  68   X   X   X 
 V7   X   X   X   X  19  89   X   X   X   X  17  57  61  99  39   X  68   X   X   X   X   X   X  50   X 
 V8  89   X   X   X  23   X   X   X   X   X   X  88  74   X   X  28  52  50   X   X   X   X   X  58  51 
 V9  71   X   X   3   X   X   X   X   X   X  34   X   X   X   X  19   X   X   X   X   X   X   4   X  60 
V10   4   X   X   X   X   X   X  17   X  34   X   X  93  52  61   X  71   X  65   X  61   X   X   X   X 
V11   X   X  25  29   X   X   X  57  88   X   X   X   X   X   X   8   X  29  68   X   X  62  78   X   X 
V12  16   X  32   X   X   X   X  61  74   X  93   X   X  61   X   X  36  12   X   X   X  44   X  70  87 
V13  38   X  78   X   X   X   X  99   X   X  52   X  61   X   X   X   X   X   X   X   X   X   X   X  83 
V14  51   1  58  50   X   X   X  39   X   X  61   X   X   X   X   X   X   X 100   X   X  39   X  21   X 
V15   X  60   X  75   X  65  80   X  28  19   X   8   X   X   X   X   X   X  96   X   X   X  80   X   X 
V16   X   X   X   X  81   X   X  68  52   X  71   X  36   X   X   X   X   X  29  95   X   X   X  77   X 
V17  94  65   X   X  56  21   X   X  50   X   X  29  12   X   X   X   X   X   X   X   X   X  30   X   X 
V18  46   X   X   X  59  23   X   X   X   X  65  68   X   X 100  96  29   X   X   X  66   X   X  14   X 
V19   X  94  56   X  79  14   1   X   X   X   X   X   X   X   X   X  95   X   X   X  42   X   X   X   X 
V20  92   X   X   X   X   X  97   X   X   X  61   X   X   X   X   X   X   X  66  42   X   X   X   X  98 
V21   X   X  51  72   X   1  68   X   X   X   X  62  44   X  39   X   X   X   X   X   X   X   X   X   X 
V22   X  16   X   X  75   X   X   X   X   4   X  78   X   X   X  80   X  30   X   X   X   X   X   X  41 
V23   X   X  70   X   X   X   X  50  58   X   X   X  70   X  21   X  77   X  14   X   X   X   X   X   X 
V24   1   6   X   X   X  73   X   X  51  60   X   X  87  83   X   X   X   X   X   X  98   X  41   X   X 
(V1-V14,1)(V24-V0,1)(V5-V21,1)(V19-V6,1)(V9-V3,3)(V22-V9,4)(V0-V10,4)(V24-V1,6)(V15-V11,8)(V3-V4,9)(V3-V5,10)(V12-V17,12)(V23-V18,14)(V19-V5,14)(V12-V0,16)(V1-V22,16)(V10-V7,17)(V9-V15,19)(V14-V23,21)(V8-V4,23)(V2-V11,25)(V16-V18,29)(V13-V0,38)(V20-V19,42)最小生成树总权值为334
     V0  V1  V2  V3  V4  V5  V6  V7  V8  V9 V10 V11 V12 V13 V14 V15 V16 V17 V18 V19 V20 V21 V22 V23 V24
 V0   X   X   X   X  35   X   X   X   X  86   X  73  32   3  34   X   X  45   X  37   6   X   X   X   X 
 V1   X   X  76   X  90   6   X   X  99  88   X  28   X  56   X   X  15   X   X   X   X   X   X   X   X 
 V2   X  76   X   X   X  44   X   X   X  77   X   X  70   X   X   X  60   1   X   X  69   X   X   X   X 
 V3   X   X   X   X   X   X   7   X   X   X  56  48   X   X   X   X   X  27   X   X   X   X   X   X   7 
 V4  35  90   X   X   X   X  55  38  96   X   X   X  24 100  61   X   X   X   X  90   X   X   X   X   X 
 V5   X   6  44   X   X   X   X   X   X   X   X   X  86   X   X   X   X  12  79   X   X   X   X   X  73 
 V6   X   X   X   7  55   X   X  62   X   X  12   7   X  98   X   X  89   X  28  28   X   X   X   X   X 
 V7   X   X   X   X  38   X  62   X   X   X   X   X   X  47  44   X   8   X   X   X   6   X   X  28   X 
 V8   X  99   X   X  96   X   X   X   X  30   X   X   X   X   X   X   X   X  65   X   X   X   X  96  31 
 V9  86  88  77   X   X   X   X   X  30   X  84   X  75  83   X   X   X   X  80  64   X   X   X   X   X 
V10   X   X   X  56   X   X  12   X   X  84   X  42   X  31   X   X   X  87   X  62  70   X  87   X   X 
V11  73  28   X  48   X   X   7   X   X   X  42   X   X   X  96   X   X   X   X   X  50   X   X   X   X 
V12  32   X  70   X  24  86   X   X   X  75   X   X   X  28  34   X   X  71  38  58   X   X  68   X  16 
V13   3  56   X   X 100   X  98  47   X  83  31   X  28   X  98  47   X  10  59   X   X   X   X   X   X 
V14  34   X   X   X  61   X   X  44   X   X   X  96  34  98   X  15   X  94   X  38  72   X   X   X   X 
V15   X   X   X   X   X   X   X   X   X   X   X   X   X  47  15   X   X 100   X   X   X   X   X  57   7 
V16   X  15  60   X   X   X  89   8   X   X   X   X   X   X   X   X   X   8   X  27  77   X   X   X   X 
V17  45   X   1  27   X  12   X   X   X   X  87   X  71  10  94 100   8   X   X   X   X  18  96   X   X 
V18   X   X   X   X   X  79  28   X  65  80   X   X  38  59   X   X   X   X   X  90   X   X   X  61   X 
V19  37   X   X   X  90   X  28   X   X  64  62   X  58   X  38   X  27   X  90   X   X   X   X   X  96 
V20   6   X  69   X   X   X   X   6   X   X  70  50   X   X  72   X  77   X   X   X   X   X  22   X   8 
V21   X   X   X   X   X   X   X   X   X   X   X   X   X   X   X   X   X  18   X   X   X   X   X  88  24 
V22   X   X   X   X   X   X   X   X   X   X  87   X  68   X   X   X   X  96   X   X  22   X   X  20  71 
V23   X   X   X   X   X   X   X  28  96   X   X   X   X   X   X  57   X   X  61   X   X  88  20   X   X 
V24   X   X   X   7   X  73   X   X  31   X   X   X  16   X   X   7   X   X   X  96   8  24  71   X   X 
(V2-V17,1)(V0-V13,3)(V20-V0,6)(V7-V20,6)(V5-V1,6)(V3-V24,7)(V6-V11,7)(V24-V15,7)(V3-V6,7)(V16-V7,8)(V24-V20,8)(V16-V17,8)(V5-V17,12)(V10-V6,12)(V14-V15,15)(V24-V12,16)(V17-V21,18)(V23-V22,20)(V22-V20,22)(V4-V12,24)(V19-V16,27)(V6-V18,28)(V8-V9,30)(V8-V24,31)最小生成树总权值为329
     V0  V1  V2  V3  V4  V5  V6  V7  V8  V9 V10 V11 V12 V13 V14 V15 V16 V17 V18 V19 V20 V21 V22 V23 V24
 V0   X   X   X  91   X   X   4  90   X   X   8  57   X   X   X   X   X   X   X  39   X   X   X   X   X 
 V1   X   X   X   X  67   X  81   X   X   X  64   X   X   X   X  19  65  75  68  45  42   X   1   X  10 
 V2   X   X   X  82  72   X   6   X   X  52  44   X  22  34  91   X   X   X  95  65   X   X   X  65   X 
 V3  91   X  82   X   X   X  29   X   X  35  53   X   X  12   X   X   X   X   X   X   X  98   X   X   X 
 V4   X  67  72   X   X  58   X   X  96   X   X   X   X   X   X   X   3  20   X   X  30   X   X   X   X 
 V5   X   X   X   X  58   X   X  36   X   X  43   X   X  49   X   X   X   X   X  81   X  75  42   6   X 
 V6   4  81   6  29   X   X   X   X  54   X   X   X   X   X  92   X  74   3  61   5   X   X  55   X   X 
 V7  90   X   X   X   X  36   X   X  50   X  34  35   X  37   X   X   X   X  86   X   X   X   X   X   X 
 V8   X   X   X   X  96   X  54  50   X  82   X  60   X   X  31   X   X   X  59   X  62   X  34  27   X 
 V9   X   X  52  35   X   X   X   X  82   X   X   X  62  64   X   X   X   X  94   X   7   X   X   X   X 
V10   8  64  44  53   X  43   X  34   X   X   X   X   X   X   X  58   X  14   X   X  46   X   X   X   X 
V11  57   X   X   X   X   X   X  35  60   X   X   X   X   X   X   X   X   X   X  69   X   X  38  20   X 
V12   X   X  22   X   X   X   X   X   X  62   X   X   X   X  50   X  11  95   X   X   X   X  76   X   X 
V13   X   X  34  12   X  49   X  37   X  64   X   X   X   X  20  79  30   8   X   X   6   X   X   X  75 
V14   X   X  91   X   X   X  92   X  31   X   X   X  50  20   X  64   X  99  55   X  59   X   X   X   X 
V15   X  19   X   X   X   X   X   X   X   X  58   X   X  79  64   X   X  12   X   X   X   X  37  15   X 
V16   X  65   X   X   3   X  74   X   X   X   X   X  11  30   X   X   X   X   X   X   X   X   X   X  54 
V17   X  75   X   X  20   X   3   X   X   X  14   X  95   8  99  12   X   X   X   X   X   X  14   X  18 
V18   X  68  95   X   X   X  61  86  59  94   X   X   X   X  55   X   X   X   X  60  43  24   X   X   X 
V19  39  45  65   X   X  81   5   X   X   X   X  69   X   X   X   X   X   X  60   X  52   X   X   X  21 
V20   X  42   X   X  30   X   X   X  62   7  46   X   X   6  59   X   X   X  43  52   X   X   X   X   X 
V21   X   X   X  98   X  75   X   X   X   X   X   X   X   X   X   X   X   X  24   X   X   X   X   X  31 
V22   X   1   X   X   X  42  55   X  34   X   X  38  76   X   X  37   X  14   X   X   X   X   X   X   X 
V23   X   X  65   X   X   6   X   X  27   X   X  20   X   X   X  15   X   X   X   X   X   X   X   X   X 
V24   X  10   X   X   X   X   X   X   X   X   X   X   X  75   X   X  54  18   X  21   X  31   X   X   X 
(V22-V1,1)(V16-V4,3)(V6-V17,3)(V6-V0,4)(V19-V6,5)(V5-V23,6)(V20-V13,6)(V6-V2,6)(V20-V9,7)(V0-V10,8)(V17-V13,8)(V24-V1,10)(V12-V16,11)(V3-V13,12)(V17-V15,12)(V22-V17,14)(V23-V15,15)(V4-V17,20)(V14-V13,20)(V11-V23,20)(V18-V21,24)(V8-V23,27)(V21-V24,31)(V7-V10,34)最小生成树总权值为307
     V0  V1  V2  V3  V4  V5  V6  V7  V8  V9 V10 V11 V12 V13 V14 V15 V16 V17 V18 V19 V20 V21 V22 V23 V24
 V0   X   X   X   X   X  30   X  80   X   X  25  12   X   X   X   X   X  61  32  21   X   X  86   X   X 
 V1   X   X   X   X  21   X   X  83   X  82   X   X  65  13   X  20  55   X   X   X   X   X   X  73   X 
 V2   X   X   X  27   X   X   X  14  93  23   X   X  10   X   X   X   X   X   X   1   X   X  15   X  79 
 V3   X   X  27   X  21   X   X  14  58   X   X  36  11   X   X   X   X  51   X  75   X   X  29  67   X 
 V4   X  21   X  21   X   X   X  43  94  15   X  62  17   X  83   X   X  77   X   X   X   X  63  33   X 
 V5  30   X   X   X   X   X  86   X   X   X   X   X   X  45   X   7  63   X   X  37   X   X   X  34   X 
 V6   X   X   X   X   X  86   X  62   X   X  74  96   X   X   X  64   X   X   X   X  59  81   X  36   X 
 V7  80  83  14  14  43   X  62   X   X  70   X   X   X   X  63   X   X   9  75  97   X   X  25   X   X 
 V8   X   X  93  58  94   X   X   X   X   X   X  54   X  13   X   X   X   X  10   X  38   X   X   X  88 
 V9   X  82  23   X  15   X   X  70   X   X   X  70   X   X  58  89   X   X   X  25   X   X   8  16   X 
V10  25   X   X   X   X   X  74   X   X   X   X   X   X   X   X   X   X  59  12   X   X  83   X   X   X 
V11  12   X   X  36  62   X  96   X  54  70   X   X   X   X   X  78   6   X   X   X   X  24  37  60   X 
V12   X  65  10  11  17   X   X   X   X   X   X   X   X  28   X   X   6  28   X   X  84   5   X   X   X 
V13   X  13   X   X   X  45   X   X  13   X   X   X  28   X   X   X   X   X   X   X  31   X   X  88  44 
V14   X   X   X   X  83   X   X  63   X  58   X   X   X   X   X   X   X   X   X   X   X   X  31   X  76 
V15   X  20   X   X   X   7  64   X   X  89   X  78   X   X   X   X   X   X   3   X   X  42   X   6   X 
V16   X  55   X   X   X  63   X   X   X   X   X   6   6   X   X   X   X   X   2   X  48   X   X   X   X 
V17  61   X   X  51  77   X   X   9   X   X  59   X  28   X   X   X   X   X  72   X  42   X   X   X   X 
V18  32   X   X   X   X   X   X  75  10   X  12   X   X   X   X   3   2  72   X  93   X  69   X   X   X 
V19  21   X   1  75   X  37   X  97   X  25   X   X   X   X   X   X   X   X  93   X   X   X   X   X   X 
V20   X   X   X   X   X   X  59   X  38   X   X   X  84  31   X   X  48  42   X   X   X   X  83   X   X 
V21   X   X   X   X   X   X  81   X   X   X  83  24   5   X   X  42   X   X  69   X   X   X   X   X   X 
V22  86   X  15  29  63   X   X  25   X   8   X  37   X   X  31   X   X   X   X   X  83   X   X   X   X 
V23   X  73   X  67  33  34  36   X   X  16   X  60   X  88   X   6   X   X   X   X   X   X   X   X   X 
V24   X   X  79   X   X   X   X   X  88   X   X   X   X  44  76   X   X   X   X   X   X   X   X   X   X 
(V19-V2,1)(V18-V16,2)(V15-V18,3)(V12-V21,5)(V16-V12,6)(V23-V15,6)(V11-V16,6)(V5-V15,7)(V22-V9,8)(V17-V7,9)(V2-V12,10)(V18-V8,10)(V12-V3,11)(V10-V18,12)(V0-V11,12)(V8-V13,13)(V13-V1,13)(V2-V7,14)(V22-V2,15)(V9-V4,15)(V14-V22,31)(V13-V20,31)(V23-V6,36)(V13-V24,44)最小生成树总权值为320
     V0  V1  V2  V3  V4  V5  V6  V7  V8  V9 V10 V11 V12 V13 V14 V15 V16 V17 V18 V19 V20 V21 V22 V23 V24
 V0   X   X  39   X   X   X  55   X  89   X   X   X   X   X  70  28   X   X   X   X   X  23   X   X   X 
 V1   X   X   X   X  85  50  66   X  41   X   X   X   X   X  68   X   X   X   X  63  39   X   X   X  92 
 V2  39   X   X   X  93  37   X   X   X   X   X   X   X   5   X   X   X   X   X  79  47   X   X   X   X 
 V3   X   X   X   X   X  65   X   X   X  54   X   X  83  14  68   X   X  72   X  48  42   X  12  20   X 
 V4   X  85  93   X   X  75  63  31   X   X   X  47   X  91  63  26   X   X   X   X   X  31   X   X   X 
 V5   X  50  37  65  75   X  15   X   X   X  29  46  19   X   X   X   X   X  32   X  52   X  86   X  82 
 V6  55  66   X   X  63  15   X   X   X   X   X   X   X   X  16  86   X   X   X  49   7   X   X   X  22 
 V7   X   X   X   X  31   X   X   X   X  50   X   X   X   X  35   X   X   X   X   X  34   X  14   X  58 
 V8  89  41   X   X   X   X   X   X   X   X  58   X   X   X   X  62   X   X   X   X   X   X   X   X   X 
 V9   X   X   X  54   X   X   X  50   X   X  61  86   X  72   X   X   X   X  29   X   X   X   X   X   X 
V10   X   X   X   X   X  29   X   X  58  61   X   X   X   X   X  47  80   X   X  31   X   X   X   X   X 
V11   X   X   X   X  47  46   X   X   X  86   X   X   X   X  81   7   X  90   X  43   X  70   X   X  46 
V12   X   X   X  83   X  19   X   X   X   X   X   X   X   X  95  37   X   X   X   X   X   X   X 100   X 
V13   X   X   5  14  91   X   X   X   X  72   X   X   X   X   X  16  20  78   X   X  54   X   X   X   X 
V14  70  68   X  68  63   X  16  35   X   X   X  81  95   X   X  55   X   X   8   X   X   X   X   X  22 
V15  28   X   X   X  26   X  86   X  62   X  47   7  37  16  55   X   X   X   X   X   X  95  51  98  89 
V16   X   X   X   X   X   X   X   X   X   X  80   X   X  20   X   X   X   X   X  21  62  29   X   X  12 
V17   X   X   X  72   X   X   X   X   X   X   X  90   X  78   X   X   X   X  72   X   X   X   X  73   X 
V18   X   X   X   X   X  32   X   X   X  29   X   X   X   X   8   X   X  72   X   X   X  30   X   X   X 
V19   X  63  79  48   X   X  49   X   X   X  31  43   X   X   X   X  21   X   X   X  89   X  84  24  90 
V20   X  39  47  42   X  52   7  34   X   X   X   X   X  54   X   X  62   X   X  89   X  28  84  35   X 
V21  23   X   X   X  31   X   X   X   X   X   X  70   X   X   X  95  29   X  30   X  28   X   X  69   X 
V22   X   X   X  12   X  86   X  14   X   X   X   X   X   X   X  51   X   X   X  84  84   X   X   X  79 
V23   X   X   X  20   X   X   X   X   X   X   X   X 100   X   X  98   X  73   X  24  35  69   X   X   X 
V24   X  92   X   X   X  82  22  58   X   X   X  46   X   X  22  89  12   X   X  90   X   X  79   X   X 
(V2-V13,5)(V6-V20,7)(V11-V15,7)(V14-V18,8)(V24-V16,12)(V22-V3,12)(V7-V22,14)(V13-V3,14)(V6-V5,15)(V14-V6,16)(V15-V13,16)(V5-V12,19)(V23-V3,20)(V16-V13,20)(V16-V19,21)(V24-V14,22)(V0-V21,23)(V4-V15,26)(V15-V0,28)(V9-V18,29)(V10-V5,29)(V1-V20,39)(V1-V8,41)(V18-V17,72)最小生成树总权值为515
     V0  V1  V2  V3  V4  V5  V6  V7  V8  V9 V10 V11 V12 V13 V14 V15 V16 V17 V18 V19 V20 V21 V22 V23 V24
 V0   X  32   X   X   X   X   X   X   X  74  35   X  49   X  41   X   X  28   X   X   X  39   X  18   X 
 V1  32   X  77   X   X  19   X   X   X   X   X   X   X   X   X  13   X   X  86  52   X   X   X  16   X 
 V2   X  77   X   X   X  89   X   X   X  98  45   X   X   X   X   X  69  48   X   X   X   X   X  54   X 
 V3   X   X   X   X   X  50   X  29   X   X   X   X  20  24   X  28   X  62  18  46   X   X  27  93   X 
 V4   X   X   X   X   X   X   X   X   X  74   X  47   X   X  49   X  59   X   X  46   X   X   X   X   X 
 V5   X  19  89  50   X   X   X   X  61   X  18   X   X   X   X   X   X   X   X  64  98   X   X   X   X 
 V6   X   X   X   X   X   X   X   X   X   X   X   X   X  49   X   X  60   X   X   X   X  18  62   6   7 
 V7   X   X   X  29   X   X   X   X  22   X   X   X   X   X  88  42  16   X  91   X  82   X  63   X  54 
 V8   X   X   X   X   X  61   X  22   X   X  61  88   X   X  48   X  41  15   X   X  26   X  15   X  89 
 V9  74   X  98   X  74   X   X   X   X   X   X   X  35   X   X  53   X  52  76  48   X  19   X   X  73 
V10  35   X  45   X   X  18   X   X  61   X   X   X   X   X  53  19  34  29   X   X   X   X   X   X   X 
V11   X   X   X   X  47   X   X   X  88   X   X   X  76  45   X   X   X   X  30   X   8   X   X  56   X 
V12  49   X   X  20   X   X   X   X   X  35   X  76   X   X   X  62   X  77  63  73   X   X   X   X   X 
V13   X   X   X  24   X   X  49   X   X   X   X  45   X   X   4   X   X   X   X   X   X   X  66   X  58 
V14  41   X   X   X  49   X   X  88  48   X  53   X   X   4   X   X  61  15   X  82   X   X  56   X  46 
V15   X  13   X  28   X   X   X  42   X  53  19   X  62   X   X   X   X   X  52   X  18  32   X   X   X 
V16   X   X  69   X  59   X  60  16  41   X  34   X   X   X  61   X   X   X   X   X   X  18   X  58  32 
V17  28   X  48  62   X   X   X   X  15  52  29   X  77   X  15   X   X   X   X   X   X   X  20   X   X 
V18   X  86   X  18   X   X   X  91   X  76   X  30  63   X   X  52   X   X   X   X   X  72   X   X   X 
V19   X  52   X  46  46  64   X   X   X  48   X   X  73   X  82   X   X   X   X   X   X  99   X   X   X 
V20   X   X   X   X   X  98   X  82  26   X   X   8   X   X   X  18   X   X   X   X   X   X  32   X   X 
V21  39   X   X   X   X   X  18   X   X  19   X   X   X   X   X  32  18   X  72  99   X   X   X   X   X 
V22   X   X   X  27   X   X  62  63  15   X   X   X   X  66  56   X   X  20   X   X  32   X   X  97   X 
V23  18  16  54  93   X   X   6   X   X   X   X  56   X   X   X   X  58   X   X   X   X   X  97   X   X 
V24   X   X   X   X   X   X   7  54  89  73   X   X   X  58  46   X  32   X   X   X   X   X   X   X   X 
(V14-V13,4)(V6-V23,6)(V24-V6,7)(V20-V11,8)(V15-V1,13)(V8-V17,15)(V8-V22,15)(V14-V17,15)(V23-V1,16)(V16-V7,16)(V23-V0,18)(V5-V10,18)(V18-V3,18)(V21-V6,18)(V21-V16,18)(V20-V15,18)(V15-V10,19)(V21-V9,19)(V3-V12,20)(V7-V8,22)(V13-V3,24)(V10-V2,45)(V19-V3,46)(V19-V4,46)最小生成树总权值为464
     V0  V1  V2  V3  V4  V5  V6  V7  V8  V9 V10 V11 V12 V13 V14 V15 V16 V17 V18 V19 V20 V21 V22 V23 V24
 V0   X   X  27   X  44  82   X  90   X  30  20   X  20  40   X   X   X  81   X   X   X   X   X   X   X 
 V1   X   X   X   X   X   X   X   X  43   X  90   X   X   X  63   X   X   X  96   X   X   X   X   X  16 
 V2  27   X   X   4   X  73   X  78   X  15   X   X  16  27  19   X  12   X  16   X   X  52   X   X   3 
 V3   X   X   4   X   X  28   X  14  79   X  85   X   X  37   X   X   8   X   X  46  97  63   X   X  67 
 V4  44   X   X   X   X   X   X   X   X   5  62   X   X   X   X   X   X   X  42   X  28  17  50   X   X 
 V5  82   X  73  28   X   X   X   X   X  42  59   X   X   X   X   X  11  82   X   X  38   X   X   X  71 
 V6   X   X   X   X   X   X   X   X   X  35   X   X  91  39   X  54   X  91   X   X   X   X   X   X   X 
 V7  90   X  78  14   X   X   X   X   X   X   X   X   X   X   X  22   X   X  77  80   X   X   X   X   X 
 V8   X  43   X  79   X   X   X   X   X  42   X   X  72   X   X  74   X   X   X  35   8   X   X   X  76 
 V9  30   X  15   X   5  42  35   X  42   X   X   X   X   X   X   X   X   X   X   X   2   X   X   X  95 
V10  20  90   X  85  62  59   X   X   X   X   X   7  19   X  11   X  90   X  79   X   X   X   X  15   X 
V11   X   X   X   X   X   X   X   X   X   X   7   X   X   X   X   X   X  38   X  97   X  20  56   X   X 
V12  20   X  16   X   X   X  91   X  72   X  19   X   X   X   X  95   X   X 100   X   X  55   X  61   X 
